Payout Date,Consignor,,Issued By,Payout Type,Total Payout,,,,,,,,,,Category,,,,SKU#,Item Name,Date,QTY Sold,Sold Total,Cost Total,Gross Total,NET Total,,,,Category,,
,,Total Paid:,,$803.00,21,$38.24,$247.88,,,,,,,,,,,,0002YS,Route 66 Relaxed Fit Denim Jorts sz 36 AF ,2025-06-06 16:09:47,1,$32.99,$15.00,$32.99,$17.99,Shorts/Jorts,,,,,
,,,,,,,,,,,,,,,,,,,0002YZ,Rock Revival Bedazzled Denim Cutoff Shorts sz 26 AF ,2025-06-06 15:12:57,1,$34.99,$15.00,$34.99,$19.99,Shorts/Jorts,,,,,
06-30-2025,Alice Yang - 02B,,Annie Zhou,Print List,$322.68,,,,,,,,,,,,,,277,Harley Davidson Bedazzled Angel Wings Tee SS ,2025-06-06 16:36:04,1,$15.00,$0.00,$15.00,$15.00,Tees,,,,,
Item,Agreed,Sold,Sale,Cost/Split,Aged Price,Discounts,Amount,,,,,,,,,,,,0002JR,y2k Jnco Jeans Demon Dog Black Tee M Made in USA AF ,2025-06-06 16:49:40,1,$45.99,$20.00,$45.99,$25.99,Tees,,,,,
Summoning Waterproof Vinyl Sticker,$3.99,06-03-2025,15378,75.00%,$3.99,,$2.99,Stickers,,,,,,,,,,,0002O3,Harley Davidson Ride w/ Pride Chico Bedazzled Gray Long Sleeve M Sac ,2025-06-06 17:11:41,1,$29.99,$15.00,$29.99,$14.99,Long Sleeves,,,,,
Not Your Strongest Soldier Waterproof Vinyl Sticker,$3.99,06-03-2025,15379,75.00%,$3.99,,$2.99,Stickers,,,,,,,,,,,0002PE,Rocawear Denim Jorts w/ Back Embroidery sz 38 AF ,2025-06-06 17:48:00,1,$37.99,$21.60,$37.99,$16.39,Shorts/Jorts,,,,,
Mochi Pout Mini Print,$4.99,06-05-2025,15453,75.00%,$4.99,,$3.74,Prints,,,,,,,,,,,2.00E+09,Lake Tahoe King's Beach Baby Blue Tee XL TO ,2025-06-06 18:49:21,1,$19.99,$9.00,$19.99,$10.99,Tees,,,,,
Mochi Pout Mini Print,$4.99,06-05-2025,15453,75.00%,$4.99,,$3.74,Prints,,,,,,,,,,,0002ZH,Brighton Black Purse Sac ,2025-06-07 12:17:03,1,$44.99,$15.00,$44.99,$29.99,Bags,,,,,
The Horrors Persist Large Print,$24.99,06-06-2025,15478,75.00%,$24.99,,$18.74,Prints,,,,,,,,,,,0002Q6,Jeff Hamilton Racing Collection Goodwrench Service Plus Racing Jacket XL AF ,2025-06-07 14:44:23,1,$124.99,$24.00,$124.99,$100.99,Jackets,,,,,
Incorrigible Large Print,$24.99,06-07-2025,15503,75.00%,$24.99,,$18.74,Prints,,,,,,,,,,,0002W9,Carhartt Black Double Knee Overalls 38x32 AF ,2025-06-07 16:36:22,1,$69.99,$20.00,$69.99,$49.99,Overalls,,,,,
Incorrigible Large Print,$24.99,06-07-2025,15509,75.00%,$24.99,,$18.74,Prints,,,,,,,,,,,00029I,Wrangler Workwear Brown Heavy Jacket AF ,2025-06-07 17:00:28,1,$65.99,$13.00,$65.99,$52.99,Jackets,,,,,
Incorrigible Mini Print,$4.99,06-08-2025,15541,75.00%,$4.99,,$3.74,Prints,,,,,,,,,,,0002Y9,Essentials Brown Floral Dress S TO ,2025-06-07 17:44:43,1,$28.99,$9.00,$28.99,$19.99,Dresses,,,,,
Baby on Board Waterproof Vinyl Sticker,$3.99,06-08-2025,15569,75.00%,$3.99,,$2.99,Stickers,,,,,,,,,,,0002TA,We The Free Light Blue Full Zip Distressed Hoodie TO ,2025-06-07 18:29:35,1,$34.99,$9.00,$34.99,$25.99,Hoodies,,,,,
Let the Potato Rest Large Print,$24.99,06-10-2025,15617,75.00%,$24.99,,$18.74,Prints,,,,,,,,,,,0002VI,Vtg San Francisco 49ers Crew Made in USA Russell L AF ,2025-06-07 18:53:28,1,$49.99,$20.00,$49.99,$29.99,Sportswear,,,,,
Incorrigible Large Print,$24.99,06-10-2025,15628,75.00%,$24.99,,$18.74,Prints,,,,,,,,,,,0002W0,y2k Fox Bedazzled Black V Neck M AF ,2025-06-08 13:11:46,1,$32.99,$20.00,$32.99,$12.99,Tees,,,,,
Incorrigible Waterproof Vinyl Sticker,$3.99,06-11-2025,15637,75.00%,$3.99,,$2.99,Stickers,,,,,,,,,,,0002UU,y2k South Pole Black and White Sweater L Sac ,2025-06-08 14:39:38,1,$34.99,$19.49,$34.99,$15.50,Sweaters,,,,,
Delicate Baby Cat Mini Print,$4.99,06-11-2025,15648,75.00%,$4.99,,$3.74,Prints,,,,,,,,,,,0002JL,Realtree Camo Hoodie w/ Gray Sleeves L AF ,2025-06-08 15:42:11,1,$34.99,$18.00,$34.99,$16.99,Hoodies,,,,,
Summoning Mini Print,$4.99,06-13-2025,15718,75.00%,$4.99,,$3.74,Prints,,,,,,,,,,,0002U6,Polo Sport Ralph Lauren Blue Windbreaker Jacket XL Sac ,2025-06-08 15:42:11,1,$32.99,$18.00,$32.99,$14.99,Jackets,,,,,
Baby on Board Waterproof Vinyl Sticker,$3.99,06-14-2025,15728,75.00%,$3.99,,$2.99,Stickers,,,,,,,,,,,0002XP,Nike NFL New Orleans Saints Drew Brees #9 Jersey XL WN ,2025-06-08 16:30:05,1,$34.99,$3.00,$34.99,$31.99,Sportswear,,,,,
Head Empty No Thoughts Waterproof Vinyl Sticker,$3.99,06-14-2025,15729,75.00%,$3.99,,$2.99,Stickers,,,,,,,,,,,0002KO,Anne Taylor Pink Collared Button Up sz 8 TO ,2025-06-08 16:40:23,1,$24.99,$9.00,$24.99,$15.99,Button Ups,,,,,
Incorrigible Mini Print,$4.99,06-14-2025,15729,75.00%,$4.99,,$3.74,Prints,,,,,,,,,,,0002N0,Abercrombie & Fitch Brown Twill Jacket L Sac ,2025-06-08 17:11:15,1,$54.99,$15.00,$54.99,$39.99,Jackets,,,,,
Delicate Baby Cat Waterproof Vinyl Sticker,$3.99,06-14-2025,15753,75.00%,$3.99,,$2.99,Stickers,,,,,,,,,,,0002PG,y2k Makaveli Baggy Denim Jorts sz 44 AF ,2025-06-08 18:13:12,1,$35.99,$21.60,$35.99,$14.39,Shorts/Jorts,,,,,
Not Your Strongest Soldier Waterproof Vinyl Sticker,$3.99,06-14-2025,15763,75.00%,$3.99,,$2.99,Stickers,,,,,,,,,,,0002QE,Miss Me Signature Straight Angel Wings sz 25 ,2025-06-09 16:24:49,1,$64.99,$10.00,$64.99,$54.99,Jeans ,,,,,
Incorrigible Mini Print,$4.99,06-15-2025,15801,75.00%,$4.99,,$3.74,Prints,,,,,,,,,,,0002R4,y2k Juicy Couture Creme Blouse w/ Hood Sac ,2025-06-09 17:15:56,1,$31.99,$19.49,$31.99,$12.50,Blouses,,,,,
Incorrigible Mini Print,$4.99,06-17-2025,15827,75.00%,$4.99,,$3.74,Prints,,,,,,,,,,,0002T4,England Navy w/ Red Stripes Jacket L TO ,2025-06-09 17:41:52,1,$26.99,$9.00,$26.99,$17.99,Jackets,,,,,
Incorrigible Waterproof Vinyl Sticker,$3.99,06-17-2025,15838,75.00%,$3.99,,$2.99,Stickers,,,,,,,,,,,0002NA,Worthington Black Leather Coat L Sac ,2025-06-10 15:00:13,1,$54.99,$15.00,$54.99,$39.99,Coats,,,,,
Special Interest Sticker,$3.99,06-18-2025,15854,75.00%,$3.99,,$2.99,Stickers,,,,,,,,,,,0002UI,Bebe Premium Denim Black Bellbottoms sz 28 ,2025-06-10 15:29:11,1,$39.99,$10.00,$39.99,$29.99,Jeans ,,,,,
Incorrigible Waterproof Vinyl Sticker,$3.99,06-18-2025,15854,75.00%,$3.99,,$2.99,Stickers,,,,,,,,,,,0002WD,Vtg Ben Davis Half Zip Hickory Stripe Shirt Made in USA L AF ,2025-06-10 15:30:58,1,$49.99,$20.00,$49.99,$29.99,Tees,,,,,
The Horrors Persist Large Print,$24.99,06-19-2025,15891,75.00%,$24.99,,$18.74,Prints,,,,,,,,,,,00030R,Tommy Hilfiger Black Corduroy Mini Purse Sac ,2025-06-10 16:26:38,1,$29.99,$15.00,$29.99,$14.99,Bags,,,,,
Incorrigible Mini Print,$4.99,06-19-2025,15901,75.00%,$4.99,,$3.74,Prints,,,,,,,,,,,0002VR,y2k Southpole Tan and Black Bomber Jacket M AF ,2025-06-10 16:40:44,1,$55.99,$20.00,$55.99,$35.99,Jackets,,,,,
Scope Creep Waterproof Vinyl Sticker,$3.99,06-19-2025,15906,75.00%,$3.99,,$2.99,Stickers,,,,,,,,,,,0002LZ,Polo Ralph Lauren Blue Polo Tee M TO ,2025-06-11 13:04:31,1,$17.99,$9.00,$17.99,$8.99,Tees,,,,,
What Documentation Waterproof Vinyl Sticker,$3.99,06-19-2025,15906,75.00%,$3.99,,$2.99,Stickers,,,,,,,,,,,00016S,Lacoste Classic Fit Blue Polo Tee ,2025-06-11 13:04:31,1,$17.99,$0.00,$17.99,$17.99,Tees,,,,,
Incorrigible Waterproof Vinyl Sticker,$3.99,06-19-2025,15907,75.00%,$3.99,,$2.99,Stickers,,,,,,,,,,,0002VG,Ed Hardy Bedazzled Embroidery Denim Jeans Sac ,2025-06-11 14:38:32,1,$67.49,$19.49,$67.49,$48.00,Jeans ,,,,,
Baby on Board Waterproof Vinyl Sticker,$3.99,06-19-2025,15907,75.00%,$3.99,,$2.99,Stickers,,,,,,,,,,,0002KU,Lululemon Cream Athletic Jacket TO ,2025-06-11 14:38:32,1,$26.99,$9.00,$26.99,$17.99,Jackets,,,,,
Scope Creep Waterproof Vinyl Sticker,$3.99,06-19-2025,15908,75.00%,$3.99,,$2.99,Stickers,,,,,,,,,,,00029Z,FCX Red and Gray Ski Jacket ,2025-06-11 15:01:52,1,$39.99,$15.00,$39.99,$24.99,Jackets,,,,,
Baby on Board Waterproof Vinyl Sticker,$3.99,06-19-2025,15910,75.00%,$3.99,,$2.99,Stickers,,,,,,,,,,,0002Z0,y2k Fubu Denim Shorts sz 11/12 AF ,2025-06-11 15:04:37,1,$39.99,$15.00,$39.99,$24.99,Shorts/Jorts,,,,,
Per My Last Email Waterproof Vinyl Sticker,$3.99,06-19-2025,15913,75.00%,$3.99,,$2.99,Stickers,,,,,,,,,,,0002W8,Carhartt Brown Double Knee Overalls 34x34 AF ,2025-06-11 16:58:21,1,$79.99,$20.00,$79.99,$59.99,Overalls,,,,,
Who Farted Waterproof Vinyl Sticker,$3.99,06-19-2025,15916,75.00%,$3.99,,$2.99,Stickers,,,,,,,,,,,0002MF,Suzuki Red Black Gray Moto Jacket L AF ,2025-06-11 16:59:19,1,$89.99,$18.00,$89.99,$71.99,Jackets,,,,,
Scope Creep Mini Print,$4.99,06-20-2025,15928,75.00%,$4.99,,$3.74,Prints,,,,,,,,,,,0002RV,Plus Ultra Spain Red Jersey TO ,2025-06-12 13:40:34,1,$25.99,$9.00,$25.99,$16.99,Sportswear,,,,,
Who Farted Waterproof Vinyl Sticker,$3.99,06-20-2025,15950,75.00%,$3.99,,$2.99,Stickers,,,,,,,,,,,0002XT,Germany Deutscher Fussball-bund White Jersey M WN ,2025-06-12 13:40:34,1,$25.99,$3.00,$25.99,$22.99,Sportswear,,,,,
Incorrigible Waterproof Vinyl Sticker,$3.99,06-20-2025,15950,75.00%,$3.99,,$2.99,Stickers,,,,,,,,,,,0002QX,Polo Ralph Lauren Navy Jacket XL AF ,2025-06-12 15:29:53,1,$31.99,$24.00,$31.99,$7.99,Jackets,,,,,
Incorrigible Waterproof Vinyl Sticker,$3.99,06-20-2025,15950,75.00%,$3.99,,$2.99,Stickers,,,,,,,,,,,0001MV,Rock & Republic Slim Fit 33x30 ,2025-06-12 17:19:21,1,$25.99,$0.00,$25.99,$25.99,Jeans ,,,,,
Email Meeting Waterproof Vinyl Sticker,$3.99,06-21-2025,16031,75.00%,$3.99,,$2.99,Stickers,,,,,,,,,,,0002RX,NHL Avalanche Paul Kariya #9 Hockey Jersey TO ,2025-06-12 17:22:15,1,$27.99,$9.00,$27.99,$18.99,Sportswear,,,,,
Incorrigible Mini Print,$4.99,06-21-2025,16031,75.00%,$4.99,,$3.74,Prints,,,,,,,,,,,00030H,Miss Me Signature Short sz 29 Sac ,2025-06-12 17:36:29,1,$37.99,$20.00,$37.99,$17.99,Shorts/Jorts,,,,,
Incorrigible Mini Print,$4.99,06-21-2025,16038,75.00%,$4.99,,$3.74,Prints,,,,,,,,,,,0002YC,INC Floral Embroidered Denim Jeans sz 10 TO ,2025-06-13 13:23:06,1,$31.99,$9.00,$31.99,$22.99,Jeans ,,,,,
Summoning Mini Print,$4.99,06-21-2025,16038,75.00%,$4.99,,$3.74,Prints,,,,,,,,,,,00030P,Lucky Brand Pink Sweats L AF ,2025-06-13 13:52:41,1,$24.99,$15.00,$24.99,$9.99,Jeans ,,,,,
Get Out Waterproof Vinyl Sticker,$3.99,06-22-2025,16062,75.00%,$3.99,,$2.99,Stickers,,,,,,,,,,,0002VZ,y2k It's Happy Bunny Black Waffle Knit Long Sleeve Juniors XL AF ,2025-06-13 14:28:58,1,$32.99,$20.00,$32.99,$12.99,Long Sleeves,,,,,
Incorrigible Mini Print,$4.99,06-22-2025,16107,75.00%,$4.99,,$3.74,Prints,,,,,,,,,,,0002T0,Old Navy Tan Floral Embroidered Cargo Pants sz 10 TO ,2025-06-13 16:48:05,1,$25.99,$9.00,$25.99,$16.99,Jeans ,,,,,
Mochi Pillow Large Print,$24.99,06-23-2025,16135,75.00%,$24.99,,$18.74,Prints,,,,,,,,,,,0002RN,UC Berkeley Navy Hoodie L TO ,2025-06-13 17:40:43,1,$25.99,$9.00,$25.99,$16.99,Hoodies,,,,,
Baby on Board Waterproof Vinyl Sticker,$3.99,06-25-2025,16170,75.00%,$3.99,,$2.99,Stickers,,,,,,,,,,,0002VS,Carhartt Charcoal Denim Double Knee Overalls AF ,2025-06-14 12:38:37,1,$69.99,$20.00,$69.99,$49.99,Overalls,,,,,
The Horrors Persist Large Print,$24.99,06-25-2025,16171,75.00%,$24.99,,$18.74,Prints,,,,,,,,,,,00031L,y2k Willie Esco Duns Jorts sz 42 B ,2025-06-14 12:45:58,1,$34.99,$8.50,$34.99,$26.49,Shorts/Jorts,,,,,
Summoning Waterproof Vinyl Sticker,$3.99,06-26-2025,16204,75.00%,$3.99,,$2.99,Stickers,,,,,,,,,,,0002NP,Dickies Tan Work Jacket w/ Hood M Sac ,2025-06-14 14:02:48,1,$49.99,$15.00,$49.99,$34.99,Jackets,,,,,
The Horrors Persist Large Print,$24.99,06-27-2025,16250,75.00%,$24.99,,$18.74,Prints,,,,,,,,,,,0002Y8,Miss Sixty Beige Cargo Pants sz 27 TO ,2025-06-14 14:09:16,1,$35.99,$9.00,$35.99,$26.99,Jeans ,,,,,
Summoning Mini Print,$4.99,06-28-2025,16271,75.00%,$4.99,,$3.74,Prints,,,,,,,,,,,00021E,The Mountain Tribal Tee ,2025-06-14 16:23:54,1,$19.99,$0.00,$19.99,$19.99,Tees,,,,,
Incorrigible Large Print,$24.99,06-28-2025,16272,75.00%,$24.99,,$18.74,Prints,,,,,,,,,,,0002LQ,Harley Davidson Burlington North Carolina Thrashed Tee XL TO ,2025-06-14 16:23:55,1,$23.99,$9.00,$23.99,$14.99,Tees,,,,,
Sit 11x14 Art Print,$35.00,06-28-2025,16288,75.00%,$35.00,,$26.25,Prints,,,,,,,,,,,304,Miss Me Mid-Rise Easy Shorts sz 27 Sac ,2025-06-14 16:49:57,1,$39.99,$20.00,$39.99,$19.99,Shorts/Jorts,,,,,
Incorrigible Large Print,$24.99,06-29-2025,16343,75.00%,$24.99,,$18.74,Prints,,,,,,,,,,,0002MJ,CMC Red Full Zip Hoodie XS Made in USA TO ,2025-06-14 17:40:44,1,$37.99,$9.00,$37.99,$28.99,Hoodies,,,,,
Not Your Strongest Soldier Waterproof Vinyl Sticker,$3.99,06-29-2025,16349,75.00%,$3.99,,$2.99,Stickers,,,,,,,,,,,0002RJ,White Belt w/ Bling Buckle Sac ,2025-06-15 13:43:04,1,$27.99,$19.49,$27.99,$8.50,Belts,,,,,
Scope Creep Waterproof Vinyl Sticker,$3.99,06-29-2025,16360,75.00%,$3.99,,$2.99,Stickers,,,,,,,,,,,0002ER,Andrea Yellow Floral Silk Button Up Long Sleeve M AF ,2025-06-15 15:51:10,1,$29.99,$15.00,$29.99,$14.99,Button Ups,,,,,
Special Interest Sticker,$3.99,06-30-2025,16370,75.00%,$3.99,,$2.99,Stickers,,,,,,,,,,,0002VU,Gap Denim Jacket XL AF ,2025-06-15 16:17:39,1,$34.99,$20.00,$34.99,$14.99,Jackets,,,,,
Summoning Large Print,$24.99,06-30-2025,16370,75.00%,$24.99,,$18.74,Prints,,,,,,,,,,,0002T3,Expressions Black Lace Polka Dot Slip Dress L TO ,2025-06-15 16:23:38,1,$27.99,$9.00,$27.99,$18.99,Lingerie,,,,,
Summoning Mini Print,$4.99,06-30-2025,16404,75.00%,$4.99,,$3.74,Prints,,,,,,,,,,,0002DN,Bersa Black Tank Top TO ,2025-06-15 16:52:31,1,$17.99,$9.00,$17.99,$8.99,Tank tops ,,,,,
,,Total Paid:,,$530.43,58,$9.15,$322.68,,,,,,,,,,,,0002RB,y2k Rocawear Leather Jacket w/ Bedazzled Back L Sac ,2025-06-18 12:45:53,1,$49.99,$19.49,$49.99,$30.50,Jackets,,,,,
,,,,,,,,,,,,,,,,,,,0002Z9,Harley Davidson Gray Button Up Tee w/ Back Embroidery M Sac ,2025-06-18 14:15:47,1,$49.99,$15.00,$49.99,$34.99,Button Ups,,,,,
06-30-2025,Allie Grimace Skate - 009,,Annie Zhou,Print List,$425.25,,,,,,,,,,,,,,00032F,y2k FOx AOP White Full Zip Hoodie M B ,2025-06-18 15:47:12,1,$59.99,$8.50,$59.99,$51.49,Hoodies,,,,,
Item,Agreed,Sold,Sale,Cost/Split,Aged Price,Discounts,Amount,,,,,,,,,,,,0002T2,EK Designs Floral Lace Tank Top L TO ,2025-06-18 15:51:40,1,$23.99,$9.00,$23.99,$14.99,Tank tops ,,,,,
Grimace Choker,$15.00,06-03-2025,15381,75.00%,$15.00,,$11.25,Necklaces,,,,,,,,,,,00031J,y2k Olive Full Zip Hoodie w/ Butterfly Bling Back B ,2025-06-18 16:08:38,1,$34.99,$8.50,$34.99,$26.49,Hoodies,,,,,
Grimace Earrings,$12.00,06-04-2025,15408,75.00%,$12.00,,$9.00,Earrings,,,,,,,,,,,00031D,Hot Leathers Skull w/ Sleeve Hit Black Full ZIp Hoodie XL B ,2025-06-18 16:40:44,1,$59.99,$8.50,$59.99,$51.49,Hoodies,,,,,
6 Pc Star Clips,$5.00,06-04-2025,15413,75.00%,$5.00,,$3.75,Hair Accessories,,,,,,,,,,,0002I4,Levis Maroon Corduroy Sherpa Jacket S SS ,2025-06-19 12:37:12,1,$49.99,$9.00,$49.99,$40.99,Jackets,,,,,
6 Pc Star Clips,$5.00,06-04-2025,15414,75.00%,$5.00,,$3.75,Hair Accessories,,,,,,,,,,,00023X,y2k Harley Davidson Skull Tee ,2025-06-19 14:28:05,1,$32.99,$0.00,$32.99,$32.99,Tees,,,,,
Grimace Choker,$15.00,06-04-2025,15414,75.00%,$15.00,,$11.25,Necklaces,,,,,,,,,,,00032E,y2k Mecca Black V Neck Tee M B ,2025-06-19 14:28:05,1,$25.99,$8.50,$25.99,$17.49,Tees,,,,,
Grimace Earrings,$12.00,06-07-2025,15494,75.00%,$12.00,,$9.00,Earrings,,,,,,,,,,,0002GJ,Juicy Couture Black Tank Top L AF ,2025-06-19 14:46:48,1,$25.99,$15.00,$25.99,$10.99,Tank tops ,,,,,
Grimace Earrings,$12.00,06-07-2025,15519,75.00%,$12.00,,$9.00,Earrings,,,,,,,,,,,0002YG,Vtg William Barry Brown Fur Lined Leather Jacket sz 44 Made in USA AF ,2025-06-19 14:53:55,1,$79.99,$20.00,$79.99,$59.99,Jackets,,,,,
6 Pc Star Clips,$5.00,06-07-2025,15533,75.00%,$5.00,,$3.75,Hair Accessories,,,,,,,,,,,0002YE,Wilson's Thinsulate Black Leather Jacket L Sac ,2025-06-19 15:59:33,1,$79.99,$20.00,$79.99,$59.99,Jackets,,,,,
6 Pc Star Clips,$5.00,06-08-2025,15566,75.00%,$5.00,,$3.75,Hair Accessories,,,,,,,,,,,0002JP,Fubu City Series Collection Dirty Dirty 05 Baby Blue Jersey AF ,2025-06-19 17:40:53,1,$59.99,$18.00,$59.99,$41.99,Athleticwear,,,,,
6 Pc Star Clips,$5.00,06-09-2025,15592,75.00%,$5.00,,$3.75,Hair Accessories,,,,,,,,,,,00032A,Dickies Sun Gray Graphic Tee L B ,2025-06-19 17:46:08,1,$24.99,$8.50,$24.99,$16.49,Tees,,,,,
Phone Charm,$15.00,06-10-2025,15607,75.00%,$15.00,,$11.25,Phone Charms,,,,,,,,,,,0002VC,The Children's Place Black Sherpa Floral Coat XL Sac ,2025-06-19 18:05:00,1,$49.99,$19.49,$49.99,$30.50,Coats,,,,,
Grimace Choker,$15.00,06-12-2025,15674,75.00%,$15.00,,$11.25,Necklaces,,,,,,,,,,,332,Affliction Redemption Cross Reworked Tee B ,2025-06-20 15:11:38,1,$44.99,$8.50,$44.99,$36.49,Tees,,,,,
Grimace Earrings,$12.00,06-13-2025,15718,75.00%,$12.00,,$9.00,Earrings,,,,,,,,,,,2:00 AM,y2k Top Heavy Dragon and Skull Brown Tee SS ,2025-06-20 15:21:49,1,$28.99,$8.00,$28.99,$20.99,Tees,,,,,
Grimace 2 Pc Button,$10.00,06-14-2025,15751,75.00%,$10.00,,$7.50,Misc. Accessories,,,,,,,,,,,0001WQ,J. Crew Brown Jacket ,2025-06-20 16:15:52,1,$28.99,$0.00,$28.99,$28.99,Jackets,,,,,
Phone Charm,$15.00,06-15-2025,15780,75.00%,$15.00,,$11.25,Phone Charms,,,,,,,,,,,0002QD,Miss Me Signature Skinny Bedazzled sz 26 ,2025-06-20 17:02:13,1,$59.99,$10.00,$59.99,$49.99,Jeans ,,,,,
2 Pc Button Pack,$10.00,06-16-2025,15822,75.00%,$10.00,,$7.50,Misc. Accessories,,,,,,,,,,,0002VJ,Vtg y2k Sapphire Lounge Blue Fleece Lined Full Zip Hoodie L AF ,2025-06-20 17:41:08,1,$59.99,$20.00,$59.99,$39.99,Hoodies,,,,,
Grimace Earrings,$12.00,06-17-2025,15830,75.00%,$12.00,,$9.00,Earrings,,,,,,,,,,,00032M,y2k Paco Jeans Front Embroidered Black Full Zip Hoodie 2XL B ,2025-06-20 19:02:59,1,$39.99,$8.50,$39.99,$31.49,Hoodies,,,,,
Grimace Keychain,$15.00,06-17-2025,15834,75.00%,$15.00,,$11.25,Keychains,,,,,,,,,,,0002W6,Polo Ralph Lauren Aztec Colorful Polo Tee L AF ,2025-06-21 12:53:00,1,$29.99,$20.00,$29.99,$9.99,Tees,,,,,
Grimace Keychain,$15.00,06-17-2025,15843,75.00%,$15.00,,$11.25,Keychains,,,,,,,,,,,0002T8,Patagonia White Puffer Vest M TO ,2025-06-21 12:54:57,1,$29.99,$9.00,$29.99,$20.99,Vests,,,,,
Grimace Choker,$15.00,06-18-2025,15866,75.00%,$15.00,,$11.25,Necklaces,,,,,,,,,,,0002Z3,Route 66 Relaxed Fit Denim Jorts sz 34 AF ,2025-06-21 13:29:59,1,$32.99,$15.00,$32.99,$17.99,Shorts/Jorts,,,,,
Cake Phone Charm,$10.00,06-20-2025,15927,75.00%,$10.00,,$7.50,Phone Charms,,,,,,,,,,,0002W1,Ralph Lauren Golf White and Navy Polo Tee M (NEW w/ tags) AF ,2025-06-21 14:08:40,1,$24.99,$20.00,$24.99,$4.99,Tees,,,,,
Grimace Necklace,$15.00,06-20-2025,15930,75.00%,$15.00,,$11.25,Necklaces,,,,,,,,,,,0002FT,y2k Baby Phat Cropped Denim Bedazzled Jacket XL AF ,2025-06-21 14:23:04,1,$49.99,$15.00,$49.99,$34.99,Jackets,,,,,
Grimace Choker,$15.00,06-20-2025,15957,75.00%,$15.00,,$11.25,Necklaces,,,,,,,,,,,0002W5,y2k Tapout AOP Las Vegas Skull Tee S AF ,2025-06-21 14:25:50,1,$37.99,$20.00,$37.99,$17.99,Tees,,,,,
Grimace Necklace,$15.00,06-21-2025,15974,75.00%,$15.00,,$11.25,Necklaces,,,,,,,,,,,0002NJ,Dickies Pink and Black Jacket L Sac ,2025-06-21 14:51:26,1,$44.99,$15.00,$44.99,$29.99,Jackets,,,,,
Grimace Necklace,$15.00,06-21-2025,15974,75.00%,$15.00,,$11.25,Necklaces,,,,,,,,,,,00031Q,Southpole Baggy Jorts w/ Front Graphics sz 42 B ,2025-06-21 15:01:14,1,$42.99,$8.50,$42.99,$34.49,Shorts/Jorts,,,,,
Grimace Earrings,$12.00,06-21-2025,15974,75.00%,$12.00,,$9.00,Earrings,,,,,,,,,,,0002S3,Polo Ralph Lauren Gray Full Zip Hoodie L TO ,2025-06-21 15:17:43,1,$29.99,$9.00,$29.99,$20.99,Hoodies,,,,,
6 Pc Star Clips,$5.00,06-21-2025,15996,75.00%,$5.00,,$3.75,Hair Accessories,,,,,,,,,,,0002SA,Polo Jeans Company Navy Full Zip Hoodie M TO ,2025-06-21 15:19:30,1,$29.99,$9.00,$29.99,$20.99,Hoodies,,,,,
Grimace Earrings,$12.00,06-21-2025,16002,75.00%,$12.00,,$9.00,Earrings,,,,,,,,,,,0002SS,Lerros Gray Quarter Zip L TO ,2025-06-21 16:47:11,1,$23.99,$9.00,$23.99,$14.99,Crewnecks,,,,,
Grimace Necklace,$15.00,06-21-2025,16021,75.00%,$15.00,,$11.25,Necklaces,,,,,,,,,,,0002WT,Harley Davidson Black Leather Vest XL Sac ,2025-06-21 17:05:29,1,$49.99,$20.00,$49.99,$29.99,Vests,,,,,
6 Pc Star Clips,$5.00,06-21-2025,16042,75.00%,$5.00,,$3.75,Hair Accessories,,,,,,,,,,,0001Z9,San Francisco Giants Black Hoodie ,2025-06-21 17:48:52,1,$24.99,$0.00,$24.99,$24.99,Hoodies,,,,,
Grimace Choker,$15.00,06-22-2025,16101,75.00%,$15.00,,$11.25,Necklaces,,,,,,,,,,,0002V5,Nike Baby Blue and White Windbreaker Jacket L Sac ,2025-06-21 19:56:10,1,$34.99,$19.49,$34.99,$15.50,Jackets,,,,,
Grimace Choker,$15.00,06-22-2025,16106,75.00%,$15.00,,$11.25,Necklaces,,,,,,,,,,,0002JU,y2k Skull w/ Wings Blue Tee M AF ,2025-06-22 12:19:16,1,$29.99,$18.00,$29.99,$11.99,Tees,,,,,
Grimace Necklace,$15.00,06-24-2025,16150,75.00%,$15.00,,$11.25,Necklaces,,,,,,,,,,,0002ZR,Wilson's Black Leather Blazer Coat M Sac ,2025-06-22 14:13:55,1,$69.99,$20.00,$69.99,$49.99,Coats,,,,,
Grimace Necklace,$15.00,06-26-2025,16220,75.00%,$15.00,,$11.25,Necklaces,,,,,,,,,,,0002W2,y2k Volcom AOP Snake Full Zip Hoodie M AF ,2025-06-22 17:39:11,1,$45.99,$20.00,$45.99,$25.99,Hoodies,,,,,
Grimace Necklace,$15.00,06-26-2025,16221,75.00%,$15.00,,$11.25,Necklaces,,,,,,,,,,,0002Z7,Harley Davidson Black Button Up Tee w/ Back Hit M Sac ,2025-06-22 23:00:44,1,$49.99,$15.00,$49.99,$34.99,Button Ups,,,,,
Grimace Choker,$15.00,06-27-2025,16239,75.00%,$15.00,,$11.25,Necklaces,,,,,,,,,,,00031T,y2k Archaic Olive Waffle Knit Long Sleeve w/ Back Hit B ,2025-06-23 13:06:06,1,$34.99,$8.50,$34.99,$26.49,Long Sleeves,,,,,
