Payout Date,Issued By,Consignor,Payout Type,Total Payout,,,,,,,,,,,,Category,,,,SKU#,Item Name,Date,QTY Sold,Sold Total,Cost Total,Gross Total,NET Total,Category,,Categories,
Mar 2025 Celestial Earrings,17820,$16.00,75.00%,$16.00,,08-01-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Aug Beaded Flower,17836,$15.00,75.00%,$15.00,,08-02-2025,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 July Hot air balloon,17836,$16.00,75.00%,$16.00,,08-02-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 July Goose Earrings,17854,$15.00,75.00%,$15.00,,08-02-2025,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Aug butterfly,17883,$14.00,75.00%,$14.00,,08-02-2025,$10.50,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 July Pearl radish,17913,$16.00,75.00%,$16.00,,08-03-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 July Pufferfish,17953,$15.00,75.00%,$15.00,,08-04-2025,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Aug Beaded Jellyfish,17962,$19.00,75.00%,$19.00,,08-04-2025,$14.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Aug White heart,17965,$15.00,75.00%,$15.00,,08-04-2025,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 July Celestials,18006,$16.00,75.00%,$16.00,,08-05-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Aug Beaded Jellyfish,18064,$19.00,75.00%,$19.00,,08-06-2025,$14.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 July Lucky cat,18071,$15.00,75.00%,$15.00,,08-07-2025,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Aug Shell Earrings,18076,$13.00,75.00%,$13.00,,08-07-2025,$9.75,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 May Fan Earrings,18116,$15.00,75.00%,$15.00,,08-07-2025,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,
Mar 2025 Yellow Crane,18131,$15.00,75.00%,$15.00,,08-08-2025,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Feb Celestial Earrings,18134,$15.00,75.00%,$15.00,,08-08-2025,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 July Goose Earrings,18134,$15.00,75.00%,$15.00,,08-08-2025,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 June Hot air balloons,18162,$16.00,75.00%,$16.00,,08-08-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 July Pointed Star,18162,$16.00,75.00%,$16.00,,08-08-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 July Red Crane,18200,$16.00,75.00%,$16.00,,08-09-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
Mar 2025 Celestial Earrings,18216,$16.00,75.00%,$16.00,,08-09-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 July Pointed Star,18241,$16.00,75.00%,$16.00,,08-10-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 July Butterfly,18241,$16.00,75.00%,$16.00,,08-10-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Feb Rose Earrings,18270,$15.00,75.00%,$15.00,,08-10-2025,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 May Fan Earrings,18278,$15.00,75.00%,$15.00,,08-10-2025,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,
Mar 2025 Pointed Star Earrings,18285,$15.00,75.00%,$15.00,,08-10-2025,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 July Rainbow Flower,18349,$15.00,75.00%,$15.00,,08-12-2025,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 July Rainbow Flower,18367,$15.00,75.00%,$15.00,,08-13-2025,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 May Stone Earrings,18371,$16.00,75.00%,$16.00,,08-13-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Aug Flower,18379,$14.00,75.00%,$14.00,,08-13-2025,$10.50,Earrings,,,,,,,,,,,,,,,,,,,,,,,
Mar 2025 Mushroom Earrings,18395,$16.00,75.00%,$16.00,,08-14-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 July watermelon,18413,$15.00,75.00%,$15.00,,08-14-2025,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 July tomato,18425,$15.00,75.00%,$15.00,,08-14-2025,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 July Moonstone,18425,$15.00,75.00%,$15.00,,08-14-2025,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 July Blue Crane,18439,$16.00,75.00%,$16.00,,08-15-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 July Goose Earrings,18439,$15.00,75.00%,$15.00,,08-15-2025,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 July Goldfish,18439,$15.00,75.00%,$15.00,,08-15-2025,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 July Pufferfish,18461,$15.00,75.00%,$15.00,,08-15-2025,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 June Jade Heart Earrings,18490,$16.00,75.00%,$16.00,,08-16-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 July Celestials,18505,$16.00,75.00%,$16.00,,08-16-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Aug Pink heart,18505,$15.00,75.00%,$15.00,,08-16-2025,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Jan Moon and Star Earrings,18536,$14.00,75.00%,$14.00,,08-16-2025,$10.50,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Aug mismatch cat,18536,$13.00,75.00%,$13.00,,08-16-2025,$9.75,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Aug Crown,18576,$14.00,75.00%,$14.00,,08-17-2025,$10.50,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Aug Pink heart,18591,$15.00,75.00%,$15.00,,08-17-2025,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Aug Dainty Butterfly Earrings,18623,$16.00,75.00%,$16.00,,08-18-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 July Pink Crane,18634,$16.00,75.00%,$16.00,,08-18-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Aug Dainty Celestials Earrings,18647,$16.00,75.00%,$16.00,,08-19-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Aug Hedgehog,18667,$14.00,75.00%,$14.00,,08-19-2025,$10.50,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Aug Jellyfish Earrings,18668,$19.00,75.00%,$19.00,,08-19-2025,$14.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Aug Goldfish Earrings,18696,$16.00,75.00%,$16.00,,08-20-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 July Dry flowers,18714,$15.00,75.00%,$15.00,,08-21-2025,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Aug Dainty Butterfly Earrings,18714,$16.00,75.00%,$16.00,,08-21-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Aug Lily,18762,$15.00,75.00%,$15.00,,08-22-2025,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Aug Stars Earrings,18775,$15.00,75.00%,$15.00,,08-22-2025,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 July Goldfish,18788,$15.00,75.00%,$15.00,,08-23-2025,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Aug Dainty Celestials Earrings,18788,$16.00,75.00%,$16.00,,08-23-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Aug Trex Earrings,18815,$16.00,75.00%,$16.00,,08-23-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 July Red Crane,18824,$16.00,75.00%,$16.00,,08-23-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 July Pointed Star,18826,$16.00,75.00%,$16.00,,08-23-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Aug Astronaut Earrings,18839,$15.00,75.00%,$15.00,,08-24-2025,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 June cherry earrings,18858,$15.00,75.00%,$15.00,,08-24-2025,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Aug Dainty Celestials Earrings,18874,$16.00,75.00%,$16.00,,08-24-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 July tomato,18906,$15.00,75.00%,$15.00,,08-25-2025,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Aug Goose Earrings,18964,$16.00,75.00%,$16.00,,08-28-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Aug Goose Earrings,18985,$16.00,75.00%,$16.00,,08-28-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Aug Red Heart Earrings,18989,$14.00,75.00%,$14.00,,08-28-2025,$10.50,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Aug Bok Choy Earrings,18999,$16.00,75.00%,$16.00,,08-29-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Aug Pufferfish Earrings,18999,$16.00,75.00%,$16.00,,08-29-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Aug Dainty Celestials Earrings,19051,$16.00,75.00%,$16.00,,08-30-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Aug Dainty Celestials Earrings,19065,$16.00,75.00%,$16.00,,08-30-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Aug Hot Air Balloon Earrings,19065,$16.00,75.00%,$16.00,,08-30-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Aug Jellyfish,19094,$16.00,75.00%,$16.00,,08-30-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 Aug Jellyfish,19135,$16.00,75.00%,$16.00,,08-31-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 June Ketchup Earrings,19161,$15.00,75.00%,$15.00,,08-31-2025,$11.25,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 July Magic hand,19162,$16.00,75.00%,$16.00,,08-31-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
2025 July Blue Crane,19168,$16.00,75.00%,$16.00,,08-31-2025,$12.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,
,,"$1,219.00",$15.43,$79.00,,Total Paid:,$839.25,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-31-2025,Annie Zhou,Natalie shawtysellz - 014,Print List,$543.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Sale,Agreed,Cost/Split,Aged Price,Discounts,Sold,Amount,,,,,,,,,,,,,,,,,,,,,,,,
SALE black maxi skirt,17816,$17.00,80.00%,$17.00,,08-01-2025,$13.60,Skirts,,,,,,,,,,,,,,,,,,,,,,,
SALE black lace longsleeve,17862,$20.00,80.00%,$20.00,,08-02-2025,$16.00,Long Sleeves,,,,,,,,,,,,,,,,,,,,,,,
black goth vampire layering dress,17907,$38.00,80.00%,$38.00,,08-03-2025,$30.40,Dresses,,,,,,,,,,,,,,,,,,,,,,,
SALE black bondage tank,17941,$20.00,80.00%,$20.00,,08-04-2025,$16.00,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,
harley davidson tank top,17971,$28.00,80.00%,$28.00,,08-04-2025,$22.40,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,
plaid plus wrap top,17976,$31.50,80.00%,$31.50,,08-04-2025,$25.20,Blouses,,,,,,,,,,,,,,,,,,,,,,,
bdg jeans,17978,$25.00,80.00%,$25.00,,08-04-2025,$20.00,Jeans ,,,,,,,,,,,,,,,,,,,,,,,
SALE gray sweatshirt,17988,$13.00,80.00%,$13.00,,08-05-2025,$10.40,Sweaters,,,,,,,,,,,,,,,,,,,,,,,
SALE made in usa cami,18024,$14.00,80.00%,$14.00,,08-05-2025,$11.20,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,
blue ed hardy dress,18032,$38.00,80.00%,$38.00,,08-06-2025,$30.40,Dresses,,,,,,,,,,,,,,,,,,,,,,,
SALE blue tiny levis,18042,$14.00,80.00%,$14.00,,08-06-2025,$11.20,Jeans ,,,,,,,,,,,,,,,,,,,,,,,
Rock star diamante tee,18051,$19.00,80.00%,$19.00,,08-06-2025,$15.20,Tees,,,,,,,,,,,,,,,,,,,,,,,
SALE american apparel corduroy skirt,18165,$9.00,80.00%,$9.00,,08-08-2025,$7.20,Skirts,,,,,,,,,,,,,,,,,,,,,,,
y2k white skull tee,18166,$23.00,80.00%,$23.00,,08-08-2025,$18.40,Tees,,,,,,,,,,,,,,,,,,,,,,,
fur trim velvet long jacket,18194,$50.00,80.00%,$50.00,,08-09-2025,$40.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,
SALE Harley gray rock tee,18230,$20.00,80.00%,$20.00,,08-09-2025,$16.00,Tees,,,,,,,,,,,,,,,,,,,,,,,
coogi embroidered booty jeans,18240,$56.00,80.00%,$56.00,,08-10-2025,$44.80,Jeans ,,,,,,,,,,,,,,,,,,,,,,,
SALE floral maxi dress,18290,$20.00,80.00%,$20.00,,08-11-2025,$16.00,Dresses,,,,,,,,,,,,,,,,,,,,,,,
SALE twilight as is tee,18291,$20.00,80.00%,$20.00,,08-11-2025,$16.00,Tees,,,,,,,,,,,,,,,,,,,,,,,
red knit shawl,18332,$19.00,80.00%,$19.00,,08-12-2025,$15.20,Sweaters,,,,,,,,,,,,,,,,,,,,,,,
floral babydoll maxi dress,18381,$28.00,80.00%,$28.00,,08-13-2025,$22.40,Dresses,,,,,,,,,,,,,,,,,,,,,,,
rocawear embroidered wings jeans,18410,$50.00,80.00%,$50.00,,08-14-2025,$40.00,Jeans ,,,,,,,,,,,,,,,,,,,,,,,
black y2k all over print dress,18423,$38.00,80.00%,$38.00,,08-14-2025,$30.40,Dresses,,,,,,,,,,,,,,,,,,,,,,,
Plaid plus size skirt,18452,$38.00,80.00%,$38.00,,08-15-2025,$30.40,Skirts,,,,,,,,,,,,,,,,,,,,,,,
SALE gray sweatshirt,18456,$13.00,80.00%,$13.00,,08-15-2025,$10.40,Crewnecks,,,,,,,,,,,,,,,,,,,,,,,
vintage nike skort,18481,$28.00,80.00%,$28.00,,08-15-2025,$22.40,Skirts,,,,,,,,,,,,,,,,,,,,,,,
stoner girlfriend omighty tank,18521,$28.00,80.00%,$28.00,,08-16-2025,$22.40,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,
brown faux fur coat,18561,$75.00,80.00%,$75.00,,08-16-2025,$60.00,Coats,,,,,,,,,,,,,,,,,,,,,,,
black japanese lace cami,18568,$25.00,80.00%,$25.00,,08-16-2025,$20.00,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,
purple padded sparkle lingerie,18574,$28.00,80.00%,$28.00,,08-16-2025,$22.40,Lingerie,,,,,,,,,,,,,,,,,,,,,,,
SALE black jeans,18582,$14.00,80.00%,$14.00,,08-17-2025,$11.20,Jeans ,,,,,,,,,,,,,,,,,,,,,,,
SALE disney bb tee,18615,$8.00,80.00%,$8.00,,08-17-2025,$6.40,Tees,,,,,,,,,,,,,,,,,,,,,,,
green japanese bloomers,18650,$25.00,80.00%,$25.00,,08-19-2025,$20.00,Shorts/Jorts,,,,,,,,,,,,,,,,,,,,,,,
SALE y2k heart teal cami,18674,$20.00,80.00%,$20.00,,08-20-2025,$16.00,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,
plus size blue levi bootcut,18717,$20.00,80.00%,$20.00,,08-21-2025,$16.00,Jeans ,,,,,,,,,,,,,,,,,,,,,,,
SALE guess velour track pants,18733,$20.00,80.00%,$20.00,,08-21-2025,$16.00,Jeans ,,,,,,,,,,,,,,,,,,,,,,,
plus size y2k embroidered booty jeans,18856,$44.00,80.00%,$44.00,,08-24-2025,$35.20,Jeans ,,,,,,,,,,,,,,,,,,,,,,,
vtg blue milkmaid blouse,18859,$40.00,80.00%,$40.00,,08-24-2025,$32.00,Blouses,,,,,,,,,,,,,,,,,,,,,,,
harley black studded tee,18891,$25.00,80.00%,$25.00,,08-24-2025,$20.00,Tees,,,,,,,,,,,,,,,,,,,,,,,
purple knit tie shrug,18903,$25.00,80.00%,$25.00,,08-25-2025,$20.00,Sweaters,,,,,,,,,,,,,,,,,,,,,,,
red mesh tank,18944,$28.00,80.00%,$28.00,,08-27-2025,$22.40,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,
SALE silk polka dot blouse,18946,$15.00,80.00%,$15.00,,08-27-2025,$12.00,Blouses,,,,,,,,,,,,,,,,,,,,,,,
bedazzled seamed vest,19104,$28.00,80.00%,$28.00,,08-30-2025,$22.40,Vests,,,,,,,,,,,,,,,,,,,,,,,
,,"$1,157.50",$26.92,43,,Total Paid:,$543.42,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-31-2025,Annie Zhou,Niko Perez - 03Y,Print List,$288.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Sale,Agreed,Cost/Split,Aged Price,Discounts,Sold,Amount,,,,,,,,,,,,,,,,,,,,,,,,
Y2k volcom zip hoodie,17779,$15.00,80.00%,$15.00,,08-01-2025,$12.00,Hoodies,,,,,,,,,,,,,,,,,,,,,,,
holister snatched tank,17803,$15.00,80.00%,$15.00,,08-01-2025,$12.00,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,
fem o’neal zip hood,17821,$15.00,80.00%,$15.00,,08-01-2025,$12.00,Hoodies,,,,,,,,,,,,,,,,,,,,,,,
Y2k south pole shirt “wash before use”,17843,$15.00,80.00%,$15.00,,08-02-2025,$12.00,Tees,,,,,,,,,,,,,,,,,,,,,,,
Y2k skull jorts fem,17853,$15.00,80.00%,$15.00,,08-02-2025,$12.00,Shorts/Jorts,,,,,,,,,,,,,,,,,,,,,,,
Y2k american eagle long sleeve blue,17875,$15.00,80.00%,$15.00,,08-02-2025,$12.00,Long Sleeves,,,,,,,,,,,,,,,,,,,,,,,
roxy zip,17876,$15.00,80.00%,$15.00,,08-02-2025,$12.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,
fem suzie long sleeve,17886,$15.00,80.00%,$15.00,,08-02-2025,$12.00,Long Sleeves,,,,,,,,,,,,,,,,,,,,,,,
Brazil collard shirt,17904,$15.00,80.00%,$15.00,,08-03-2025,$12.00,Tees,,,,,,,,,,,,,,,,,,,,,,,
90s cal Hoodie,17943,$15.00,80.00%,$15.00,,08-04-2025,$12.00,Hoodies,,,,,,,,,,,,,,,,,,,,,,,
y2k tommy collard stripped shirt,17951,$15.00,80.00%,$15.00,,08-04-2025,$12.00,Tees,,,,,,,,,,,,,,,,,,,,,,,
Lululemon zip up,17998,$15.00,80.00%,$15.00,,08-05-2025,$12.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,
pink aero jacket,18020,$15.00,80.00%,$15.00,,08-05-2025,$12.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,
cheetah green top,18056,$15.00,80.00%,$15.00,,08-06-2025,$12.00,Blouses,,,,,,,,,,,,,,,,,,,,,,,
peace love happiness zip hoodie,18070,$15.00,80.00%,$15.00,,08-07-2025,$12.00,Hoodies,,,,,,,,,,,,,,,,,,,,,,,
fast girls always win tank,18077,$15.00,80.00%,$15.00,,08-07-2025,$12.00,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,
Y2k dickies shirt,18087,$15.00,80.00%,$15.00,,08-07-2025,$12.00,Tees,,,,,,,,,,,,,,,,,,,,,,,
Y2k south pole button up shirt,18087,$15.00,80.00%,$15.00,,08-07-2025,$12.00,Button Ups,,,,,,,,,,,,,,,,,,,,,,,
Red south pole shirt,18087,$15.00,80.00%,$15.00,,08-07-2025,$12.00,Tees,,,,,,,,,,,,,,,,,,,,,,,
cargo pants,18087,$15.00,80.00%,$15.00,,08-07-2025,$12.00,Jeans ,,,,,,,,,,,,,,,,,,,,,,,
Y2k rocawear shirt,18091,$15.00,80.00%,$15.00,,08-07-2025,$12.00,Tees,,,,,,,,,,,,,,,,,,,,,,,
y2k sean jean shirt,18091,$15.00,80.00%,$15.00,,08-07-2025,$12.00,Tees,,,,,,,,,,,,,,,,,,,,,,,
fem harley long sleeve,18192,$15.00,80.00%,$15.00,,08-09-2025,$12.00,Long Sleeves,,,,,,,,,,,,,,,,,,,,,,,
messi baby t jersey,18219,$15.00,80.00%,$15.00,,08-09-2025,$12.00,Sportswear,,,,,,,,,,,,,,,,,,,,,,,
2000s hawaiian shorts,18226,$15.00,80.00%,$15.00,,08-09-2025,$12.00,Shorts/Jorts,,,,,,,,,,,,,,,,,,,,,,,
Y2k Etnies shirt,18291,$15.00,80.00%,$15.00,,08-11-2025,$12.00,Tees,,,,,,,,,,,,,,,,,,,,,,,
90s juicy couture shirt,18312,$15.00,80.00%,$15.00,,08-11-2025,$12.00,Tees,,,,,,,,,,,,,,,,,,,,,,,
fem long sleeve purple,18314,$15.00,80.00%,$15.00,,08-11-2025,$12.00,Long Sleeves,,,,,,,,,,,,,,,,,,,,,,,
Snatched american eagle tank,18329,$15.00,80.00%,$15.00,,08-12-2025,$12.00,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,
France baby soccer jersey,18374,$15.00,80.00%,$15.00,,08-13-2025,$12.00,Sportswear,,,,,,,,,,,,,,,,,,,,,,,
y2k fem gap shirt,18375,$15.00,80.00%,$15.00,,08-13-2025,$12.00,Tees,,,,,,,,,,,,,,,,,,,,,,,
lucky brand flair jeans,18376,$15.00,80.00%,$15.00,,08-13-2025,$12.00,Jeans ,,,,,,,,,,,,,,,,,,,,,,,
Fem Puma sports jersey,18376,$15.00,80.00%,$15.00,,08-13-2025,$12.00,Athleticwear,,,,,,,,,,,,,,,,,,,,,,,
aerie skirt,18378,$15.00,80.00%,$15.00,,08-13-2025,$12.00,Skirts,,,,,,,,,,,,,,,,,,,,,,,
snatched adidas fem top,18382,$15.00,80.00%,$15.00,,08-13-2025,$12.00,Tees,,,,,,,,,,,,,,,,,,,,,,,
skin y2k fem top,18387,$15.00,80.00%,$15.00,,08-13-2025,$12.00,Blouses,,,,,,,,,,,,,,,,,,,,,,,
patagonia zip up,18397,$15.00,80.00%,$15.00,,08-14-2025,$12.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,
90s fem white long sleeve,18399,$15.00,80.00%,$15.00,,08-14-2025,$12.00,Long Sleeves,,,,,,,,,,,,,,,,,,,,,,,
snatched old navy jean jacket,18400,$15.00,80.00%,$15.00,,08-14-2025,$12.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,
y2k shirt,18417,$15.00,80.00%,$15.00,,08-14-2025,$12.00,Tees,,,,,,,,,,,,,,,,,,,,,,,
y2k billabong zip up,18420,$15.00,80.00%,$15.00,,08-14-2025,$12.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,
italia Zip up,18428,$15.00,80.00%,$15.00,,08-14-2025,$12.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,
o’neal fem zip up zebra pattern,18460,$15.00,80.00%,$15.00,,08-15-2025,$12.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,
chain stitch zip up,18476,$15.00,80.00%,$15.00,,08-15-2025,$12.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,
Rock jean jacket,18478,$15.00,80.00%,$15.00,,08-15-2025,$12.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,
fem leather jacket,18492,$15.00,80.00%,$15.00,,08-16-2025,$12.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,
y2k cowgirl top,18503,$15.00,80.00%,$15.00,,08-16-2025,$12.00,Blouses,,,,,,,,,,,,,,,,,,,,,,,
fem polo shirt,18519,$15.00,80.00%,$15.00,,08-16-2025,$12.00,Tees,,,,,,,,,,,,,,,,,,,,,,,
abercrombie Long sleeve,18520,$15.00,80.00%,$15.00,,08-16-2025,$12.00,Long Sleeves,,,,,,,,,,,,,,,,,,,,,,,
south pole fem flair jeans,18544,$15.00,80.00%,$15.00,,08-16-2025,$12.00,Jeans ,,,,,,,,,,,,,,,,,,,,,,,
roca wear flair jeans,18580,$15.00,80.00%,$15.00,,08-17-2025,$12.00,Jeans ,,,,,,,,,,,,,,,,,,,,,,,
A&F fem zip up,18580,$15.00,80.00%,$15.00,,08-17-2025,$12.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,
Y2k fox zip up hoodie,18609,$15.00,80.00%,$15.00,,08-17-2025,$12.00,Hoodies,,,,,,,,,,,,,,,,,,,,,,,
hollister surf zip up hoodie,18610,$15.00,80.00%,$15.00,,08-17-2025,$12.00,Hoodies,,,,,,,,,,,,,,,,,,,,,,,
2000s coach purse “tan and brown”,18618,$65.00,80.00%,$65.00,,08-17-2025,$52.00,Bags,,,,,,,,,,,,,,,,,,,,,,,
grey and pink patagonia sweater,18622,$15.00,80.00%,$15.00,,08-18-2025,$12.00,Sweaters,,,,,,,,,,,,,,,,,,,,,,,
2000s victorious secret top,18650,$15.00,80.00%,$15.00,,08-19-2025,$12.00,Lingerie,,,,,,,,,,,,,,,,,,,,,,,
90s bebe tank,18685,$15.00,80.00%,$15.00,,08-20-2025,$12.00,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,
happy bunny long sleeve shirt,18716,$15.00,80.00%,$15.00,,08-21-2025,$12.00,Long Sleeves,,,,,,,,,,,,,,,,,,,,,,,
fast girl race tank,18736,$15.00,80.00%,$15.00,,08-21-2025,$12.00,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,
lululemon zip up,18757,$15.00,80.00%,$15.00,,08-22-2025,$12.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,
2000s brown fem jacket,18758,$15.00,80.00%,$15.00,,08-22-2025,$12.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,
2000s coach purse “black and tan”,18763,$50.00,80.00%,$50.00,,08-22-2025,$40.00,Bags,,,,,,,,,,,,,,,,,,,,,,,
2000s easily distracted T shirt,18768,$15.00,80.00%,$15.00,,08-22-2025,$12.00,Tees,,,,,,,,,,,,,,,,,,,,,,,
snatched pink tank,18778,$15.00,80.00%,$15.00,,08-22-2025,$12.00,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,
Messi paris soccer jersey,18785,$15.00,80.00%,$15.00,,08-23-2025,$12.00,Sportswear,,,,,,,,,,,,,,,,,,,,,,,
gucci fem top,18792,$15.00,80.00%,$15.00,,08-23-2025,$12.00,Tees,,,,,,,,,,,,,,,,,,,,,,,
ralph lauren zip up hood,18792,$15.00,80.00%,$15.00,,08-23-2025,$12.00,Hoodies,,,,,,,,,,,,,,,,,,,,,,,
brown patagonia zip up,18813,$15.00,80.00%,$15.00,,08-23-2025,$12.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,
